found_date,fd_code,manager_name,totshare,fd_full_name,keeper_name,unit_nav,keep_time,work_year
2015-02-16,000991,杜洋,48亿,工银战略转型股票,工银瑞信基金管理有限公司,3.9870,2015-02-16,12
2015-09-30,001643,陆彬,29亿,汇丰晋信智造先锋股票A,汇丰晋信基金管理有限公司,3.0528,2019-05-18,8
2015-06-02,001245,何肖颉,57亿,工银生态环境股票,工银瑞信基金管理有限公司,2.0280,2015-06-02,24
2010-06-08,540008,陆彬,96亿,汇丰晋信低碳先锋股票,汇丰晋信基金管理有限公司,3.5179,2019-08-17,8
2015-09-30,001644,陆彬,29亿,汇丰晋信智造先锋股票C,汇丰晋信基金管理有限公司,2.9574,2019-05-18,8
2017-06-07,003834,郑泽鸿,238亿,华夏能源革新股票,华夏基金管理有限公司,3.0880,2017-06-07,10
2018-06-13,005825,徐远航,9亿,申万菱信智能驱动股票A,申万菱信基金管理有限公司,3.1862,2020-07-13,11
2017-09-01,004997,郑澄然,182亿,广发高端制造股票,广发基金管理有限公司,2.4615,2020-07-23,7
2014-03-07,000409,孟昊,39亿,鹏华环保产业股票,鹏华基金管理有限公司,4.5330,2019-07-24,8
2014-11-18,000828,王鹏,62亿,泰达宏利转型机遇股票,泰达宏利基金管理有限公司,2.4230,2017-12-19,10
2018-01-19,004812,卢纯青,71亿,中欧先进制造股票A,中欧基金管理公司,2.6744,2020-06-24,17
2016-11-02,003624,李游,10亿,创金合信资源主题精选股票A,创金合信基金管理有限公司,2.4920,2016-11-02,15
2016-11-02,003625,李游,10亿,创金合信资源主题精选股票C,创金合信基金管理有限公司,2.4229,2016-11-02,15
2017-03-08,001825,孙晟,5亿,建信中国制造2025股票,建信基金管理有限责任公司,2.4889,2017-03-08,11
2018-01-19,004813,卢纯青,71亿,中欧先进制造股票C,中欧基金管理公司,2.6399,2020-06-24,17
2018-09-14,006265,石炯,3亿,红土创新新科技股票,,3.0325,2021-08-03,8
2015-06-19,001476,王伟,19亿,中银智能制造股票,中银基金管理有限公司,1.6730,2015-06-19,12
2018-03-23,005669,崔宸龙,258亿,前海开源公用事业股票,前海开源基金管理有限公司,2.6747,2020-07-20,6
2017-09-20,004784,陈西中,6亿,招商稳健优选股票,招商基金管理有限公司,2.5786,2021-09-28,8
2018-05-17,005968,李游,66亿,创金合信工业周期股票A,创金合信基金管理有限公司,2.5837,2018-05-17,15
2018-05-17,005969,李游,66亿,创金合信工业周期股票C,创金合信基金管理有限公司,2.5166,2018-05-17,15
2014-08-20,000729,周智硕,29亿,建信中小盘先锋,建信基金管理有限责任公司,3.5200,2020-09-18,13
2014-05-14,000592,陶灿,10亿,建信改革红利股票,建信基金管理有限责任公司,4.9090,2014-05-14,15
2017-08-01,001790,王阳,98亿,国泰智能汽车股票A,国泰基金管理有限公司,2.2150,2019-08-15,11
2015-03-19,001054,鄢耀,110亿,工银新金融股票,工银瑞信基金管理有限公司,2.7300,2015-03-19,14
2018-05-08,005927,曹春林,52亿,创金合信新能源汽车股票A,创金合信基金管理有限公司,2.5444,2018-05-08,24
2016-01-29,001719,陈小鹭,2亿,工银国家战略股票,工银瑞信基金管理有限公司,2.5870,2018-11-30,13
2016-02-03,001717,赵蓓,211亿,工银前沿医疗股票,工银瑞信基金管理有限公司,3.5500,2016-02-03,14
2018-05-08,005928,曹春林,52亿,创金合信新能源汽车股票C,创金合信基金管理有限公司,2.4734,2018-05-08,24
2014-10-23,000803,宋炳珅,1亿,工银研究精选股票,工银瑞信基金管理有限公司,3.2740,2014-10-23,18
2017-03-16,003984,熊昱洲 姚志鹏,77亿,嘉实新能源股票A,嘉实基金管理有限公司,2.6704,2017-03-16,11
2017-03-10,003853,倪超,26亿,金鹰信息产业股票A,金鹰基金管理有限公司,3.1031,2022-03-14,13
2012-04-20,200015,周诗博,12亿,长城优化,长城基金管理公司,4.4166,2021-01-04,6
2015-07-31,001410,冯明远,174亿,信达新能源产业,信达澳亚基金管理有限公司,3.8530,2016-10-19,12
