found_date,fd_code,manager_name,totshare,fd_full_name,keeper_name,unit_nav,keep_time,work_year,yield
2015-02-16,000991,杜洋,48亿,工银战略转型股票,工银瑞信基金管理有限公司,3.9870,2015-02-16,12,212.9513
2015-09-30,001643,陆彬,29亿,汇丰晋信智造先锋股票A,汇丰晋信基金管理有限公司,3.0528,2019-05-18,8,201.8092
2015-06-02,001245,何肖颉,57亿,工银生态环境股票,工银瑞信基金管理有限公司,2.0280,2015-06-02,24,201.3373
2010-06-08,540008,陆彬,96亿,汇丰晋信低碳先锋股票,汇丰晋信基金管理有限公司,3.5179,2019-08-17,8,200.9324
2015-09-30,001644,陆彬,29亿,汇丰晋信智造先锋股票C,汇丰晋信基金管理有限公司,2.9574,2019-05-18,8,197.4952
2017-06-07,003834,郑泽鸿,238亿,华夏能源革新股票,华夏基金管理有限公司,3.0880,2017-06-07,10,189.1386
2018-06-13,005825,徐远航,9亿,申万菱信智能驱动股票A,申万菱信基金管理有限公司,3.1862,2020-07-13,11,179.9578
2017-09-01,004997,郑澄然,182亿,广发高端制造股票,广发基金管理有限公司,2.4615,2020-07-23,7,179.3350
2014-03-07,000409,孟昊,39亿,鹏华环保产业股票,鹏华基金管理有限公司,4.5330,2019-07-24,8,174.5609
2014-11-18,000828,王鹏,62亿,泰达宏利转型机遇股票,泰达宏利基金管理有限公司,2.4230,2017-12-19,10,174.4054
2018-01-19,004812,卢纯青,71亿,中欧先进制造股票A,中欧基金管理公司,2.6744,2020-06-24,17,170.3872
2016-11-02,003624,李游,10亿,创金合信资源主题精选股票A,创金合信基金管理有限公司,2.4920,2016-11-02,15,169.7262
2016-11-02,003625,李游,10亿,创金合信资源主题精选股票C,创金合信基金管理有限公司,2.4229,2016-11-02,15,167.9310
2017-03-08,001825,孙晟,5亿,建信中国制造2025股票,建信基金管理有限责任公司,2.4889,2017-03-08,11,167.3936
2018-01-19,004813,卢纯青,71亿,中欧先进制造股票C,中欧基金管理公司,2.6399,2020-06-24,17,166.2532
2018-09-14,006265,石炯,3亿,红土创新新科技股票,,3.0325,2021-08-03,8,165.9262
2015-06-19,001476,王伟,19亿,中银智能制造股票,中银基金管理有限公司,1.6730,2015-06-19,12,165.5556
2018-03-23,005669,崔宸龙,258亿,前海开源公用事业股票,前海开源基金管理有限公司,2.6747,2020-07-20,6,164.6384
2017-09-20,004784,陈西中,6亿,招商稳健优选股票,招商基金管理有限公司,2.5786,2021-09-28,8,163.0688
2018-05-17,005968,李游,66亿,创金合信工业周期股票A,创金合信基金管理有限公司,2.5837,2018-05-17,15,162.9452
2018-05-17,005969,李游,66亿,创金合信工业周期股票C,创金合信基金管理有限公司,2.5166,2018-05-17,15,157.5054
2014-08-20,000729,周智硕,29亿,建信中小盘先锋,建信基金管理有限责任公司,3.5200,2020-09-18,13,154.8878
2014-05-14,000592,陶灿,10亿,建信改革红利股票,建信基金管理有限责任公司,4.9090,2014-05-14,15,154.3523
