fd_code,fd_name,yield,sf_type,unit_nav,f_type
006279,中金瑞祥A,304.7813,3,4.3684,fund
090018,大成新锐产业混合,243.5673,3,5.8750,fund
006736,国投瑞银先进制造混合,233.2443,3,3.3701,fund
001704,国投瑞银进宝混合,224.4275,3,3.5700,fund
001300,大成睿景混合A,221.6968,3,2.3130,fund
002258,大成国企改革混合,217.9236,3,3.2460,fund
001301,大成睿景混合C,214.3678,3,2.1880,fund
000126,招商安润混合,207.6364,3,3.2148,fund
161912,万家社会责任18个月定开A,203.0033,3,2.2632,fund
161913,万家社会责任18个月定开C,198.4747,3,2.2329,fund
000209,信诚新兴产业混合,196.5922,3,3.7163,fund
002132,广发鑫享混合,195.9545,3,2.6044,fund
001156,申万菱信新能源汽车主题,195.5303,3,2.3120,fund
519702,交银趋势混合A,188.5163,3,3.9970,fund
006392,中信保诚创新成长,183.3058,3,2.9172,fund
005094,万家臻选混合,182.8503,3,2.7131,fund
001822,华商智能生活混合,181.3497,3,2.2930,fund
700003,平安策略先锋混合,177.4230,3,4.9520,fund
519918,华夏兴和混合,177.3794,3,4.2550,fund
005671,前海联合研究优选混合A,175.1665,3,2.0263,fund
519002,华安安信消费混合,173.6391,3,4.4740,fund
166301,华商新趋势混合,173.3132,3,8.1420,fund
005939,工银新能源汽车主题混合A,173.1185,3,3.3894,fund
165516,信诚周期轮动混合,170.1436,3,4.8662,fund
005940,工银新能源汽车主题混合C,169.5850,3,3.3132,fund
005672,前海联合研究优选混合C,168.7184,3,1.9504,fund
006250,上投摩根动力精选混合A,168.5320,3,2.6488,fund
001532,华安文体健康灵活配置混合A,167.7952,3,3.2430,fund
000689,前海开源新经济混合A,167.7043,3,2.7520,fund
550009,信诚中小盘混合,167.4293,3,3.9740,fund
720001,财通价值动量混合,166.9526,3,5.2910,fund
040015,华安动态混合,163.9610,3,4.0650,fund
002083,新华鑫动力A,163.6432,3,2.4387,fund
002084,新华鑫动力C,162.7874,3,2.4229,fund
400015,东方新能源汽车混合,161.8776,3,3.1661,fund
398051,中海环保新能源,161.4823,3,2.2710,fund
004390,平安转型创新混合A,160.5504,3,2.7363,fund
001480,财通成长优选混合,160.3550,3,2.6400,fund
001569,泰信国策驱动灵活配置混合,160.0000,3,1.7550,fund
000739,平安新鑫先锋A,159.8232,3,2.6450,fund
001856,易方达环保主题混合,159.6737,3,3.3420,fund
003304,前海开源沪港深核心资源A,158.6146,3,3.0490,fund
003567,华夏行业景气混合,158.2447,3,3.1307,fund
003305,前海开源沪港深核心资源C,157.5742,3,3.0290,fund
006533,易方达科融混合,157.4496,3,2.5902,fund
004685,金元顺安元启混合,157.1949,3,2.8240,fund
001515,平安新鑫先锋C,156.9709,3,2.5620,fund
002780,前海联合泓鑫混合A,156.3364,3,2.8925,fund
001959,华商乐享互联灵活配置混合A,156.2500,3,1.8450,fund
004391,平安转型创新混合C,154.4539,3,2.6537,fund
519133,海富通改革驱动混合,154.3441,3,2.5227,fund
501046,财通多策略福鑫定开,154.1382,3,3.0461,fund
007043,前海联合泓鑫混合C,153.5620,3,2.8759,fund
000924,宝盈先进制造混合A,152.4124,3,2.5500,fund
005730,国泰江源优势混合A,151.0903,3,2.0956,fund
001858,建信鑫利混合,151.0698,3,2.3234,fund
002943,广发多因子混合,150.0368,3,3.0668,fund
001298,金鹰民族新兴混合,149.2729,3,2.9140,fund
519196,万家新兴蓝筹混合,147.0741,3,2.3813,fund
160421,华安智增精选混合,146.7319,3,2.6235,fund
003857,前海开源周期优选A,146.1119,3,2.6174,fund
002910,易方达供给改革混合,145.7542,3,2.3037,fund
003858,前海开源周期优选C,145.3237,3,2.5916,fund
400032,东方主题精选混合,143.5550,3,1.4757,fund
001279,中海积极增利混合,143.2515,3,2.3790,fund
006348,银华盛利混合,142.8179,3,2.9160,fund
001933,华商新兴活力混合,142.3877,3,2.2130,fund
001694,华安沪港深外延增长,141.4714,3,3.7090,fund
002340,富国价值优势混合,141.0892,3,3.4307,fund
519195,万家品质生活混合,140.0696,3,2.7596,fund
005630,华安研究精选混合,140.0251,3,2.2923,fund
519126,浦银安盛新经济结构混合,139.6264,3,3.0145,fund
001716,工银新趋势灵活配置混合A,139.4778,3,3.0270,fund
002939,广发创新升级混合,139.4272,3,2.8341,fund
001702,东方创新科技混合,138.7085,3,1.9481,fund
005533,银华国企改革混合,138.5129,3,2.3930,fund
040035,华安逆向策略混合,137.9271,3,6.3360,fund
240022,华宝资源优选,137.4825,3,3.3960,fund
162202,泰达宏利周期混合,137.4247,3,3.1530,fund
002669,华商万众创新混合,136.8658,3,2.1010,fund
005233,广发睿毅领先混合,136.1811,3,2.7175,fund
501064,国泰价值优选灵活配置混合,136.0186,3,2.7980,fund
004745,长盛创新驱动混合,135.7767,3,1.8881,fund
001997,工银新趋势灵活配置混合C,134.8662,3,2.8090,fund
450004,国富深化价值混合,134.0372,3,2.7710,fund
003961,易方达瑞程混合A,133.8482,3,2.9521,fund
006154,华安制造先锋混合,133.7974,3,3.2243,fund
004895,华商鑫安混合,133.4763,3,1.8190,fund
003962,易方达瑞程混合C,132.4943,3,2.9650,fund
000977,长城环保主题混合,132.0321,3,2.3122,fund
001387,中融新经济混合A,131.9899,3,3.7270,fund
005668,融通新能源汽车A,131.1229,3,2.3875,fund
590003,中邮核心优势混合,130.7806,3,3.1340,fund
001388,中融新经济混合C,130.5573,3,2.2510,fund
001445,华安国企改革混合,129.1718,3,3.7080,fund
001266,国投瑞银招财混合,128.9091,3,2.0920,fund
005352,鹏扬景泰混合A,127.6034,3,2.3343,fund
005680,财通资管价值成长混合,126.4512,3,2.2978,fund
519181,万家和谐增长混合,126.3092,3,1.8107,fund
005821,万家新机遇龙头企业混合,126.2511,3,2.2216,fund
001667,南方转型混合,126.1962,3,1.8910,fund
550015,中信保诚至远动力混合A,125.9877,3,2.3966,fund
501022,银华鑫盛定增混合,125.7874,3,2.2940,fund
005353,鹏扬景泰混合C,124.8407,3,2.2936,fund
288001,华夏经典混合,124.7525,3,2.2700,fund
002846,泓德泓华混合,124.5684,3,1.9661,fund
001366,金鹰产业整合混合,124.4006,3,1.5910,fund
006266,永赢智能领先A,124.1159,3,2.2434,fund
167002,平安鼎越混合,123.7136,3,2.2434,fund
550016,中信保诚至远动力混合C,123.6973,3,3.4087,fund
530001,建信恒久价值混合,123.5374,3,1.1344,fund
163822,中银主题策略混合,123.5077,3,3.6320,fund
001508,富国新动力混合A,123.4358,3,2.8990,fund
002537,平安安盈灵活配置混合A,123.2540,3,2.3464,fund
005794,银华心怡混合,123.1788,3,2.8136,fund
270028,广发制造业精选混合,123.1033,3,5.2050,fund
005136,华安幸福生活混合,122.7371,3,2.2688,fund
001069,华泰柏瑞消费成长,122.4138,3,2.4510,fund
000390,华商优势行业混合,122.3602,3,1.1600,fund
006269,永赢智能领先C,122.3599,3,2.2256,fund
000431,鹏华品牌传承混合,122.1306,3,3.2320,fund
001951,金鹰改革红利混合,121.8837,3,2.4030,fund
000601,华宝创新混合,121.5385,3,2.3040,fund
519704,交银先进制造混合,121.3529,3,4.1667,fund
006051,鹏扬核心价值混合A,120.9352,3,2.2869,fund
163807,中银优选混合,120.8594,3,1.1062,fund
005911,广发双擎升级混合,120.8000,3,2.8039,fund
673060,西部利得景瑞混合A,120.5860,3,2.3050,fund
000263,工银信息产业混合,120.1970,3,3.5760,fund
121010,国投瑞银瑞源混合,120.0681,3,3.1034,fund
001510,富国新动力混合C,120.0502,3,2.7990,fund
006424,嘉合锦程混合A,119.5817,3,2.0381,fund
570008,诺德周期策略混合,119.0000,3,3.2850,fund
167001,平安鼎泰混合,118.8414,3,1.6319,fund
005299,万家成长优选混合A,117.5123,3,2.5164,fund
001864,中海魅力长三角混合,117.4868,3,2.4750,fund
519095,新华行业周期轮换混合,117.2779,3,3.8154,fund
005535,泰信竞争优选混合,116.9802,3,2.1016,fund
610006,信达澳银产业升级混合,116.9462,3,2.4580,fund
001220,民生加银研究精算,116.8675,3,1.6200,fund
005119,银华智荟内在价值灵活配置混合发起式,116.4057,3,1.9351,fund
000939,中银研究精选混合,116.2082,3,0.7930,fund
004374,华泰保兴吉年丰A,115.6345,3,2.2633,fund
210003,金鹰行业优势混合,115.6057,3,2.6554,fund
000547,建信健康民生混合,115.5664,3,5.2900,fund
002542,长城久鼎混合,115.0697,3,2.2849,fund
001832,易方达瑞恒混合,114.7982,3,2.3950,fund
001811,中欧明睿新常态混合,114.7799,3,2.6304,fund
519642,银河智造混合,114.7011,3,2.6580,fund
006425,嘉合锦程混合C,114.5568,3,1.9838,fund
519003,海富通收益增长混合,114.5381,3,2.3140,fund
002291,诺安安鑫灵活配置混合,114.5333,3,2.4135,fund
004375,华泰保兴吉年丰C,114.2953,3,2.2366,fund
005300,万家成长优选混合C,114.1416,3,2.4622,fund
002170,东吴移动互联混合C,114.0343,3,1.8728,fund
002446,广发利鑫灵活配置混合A,113.9494,3,2.4540,fund
007012,湘财长顺混合发起式A,113.9223,3,0.9805,fund
001018,易方达新经济混合,113.4014,3,3.5510,fund
530006,建信核心精选混合,113.3966,3,2.8040,fund
001323,东吴移动互联混合A,112.6131,3,1.8795,fund
006527,富国优质发展混合A,112.5286,3,1.9040,fund
003714,英大睿盛混合C,112.3252,3,2.1151,fund
000584,新华鑫益混合,112.1407,3,4.8559,fund
005596,建信战略精选混合A,112.0488,3,2.1911,fund
