fd_code,fd_name,yield,sf_type,unit_nav,f_type
000991,工银战略转型股票,201.6884,1,3.9310,fund
001245,工银生态环境股票,200.7257,1,2.0720,fund
001643,汇丰晋信智造先锋股票A,198.8087,1,3.0852,fund
001644,汇丰晋信智造先锋股票C,194.5791,1,2.9888,fund
540008,汇丰晋信低碳先锋股票,190.8636,1,3.5433,fund
003834,华夏能源革新股票,185.6221,1,3.0990,fund
000409,鹏华环保产业股票,177.2835,1,4.6750,fund
004997,广发高端制造股票,176.4431,1,2.5477,fund
005825,申万菱信智能驱动股票A,171.7870,1,3.1954,fund
000828,泰达宏利转型机遇,171.6940,1,2.4860,fund
004812,中欧先进制造股票A,167.2999,1,2.7580,fund
005669,前海开源公用事业,166.9790,1,2.7069,fund
004813,中欧先进制造股票C,163.1671,1,2.7222,fund
001476,中银智能制造股票,162.8440,1,1.7190,fund
006265,红土创新新科技股票,161.5672,1,3.0959,fund
004784,招商稳健优选股票,159.4781,1,2.6350,fund
003624,创金合信资源主题精选股票A,156.8823,1,2.4504,fund
005968,创金合信工业周期精选股票A,156.1674,1,2.6375,fund
001790,国泰智能汽车股票A,155.9910,1,2.2860,fund
003625,创金合信资源主题精选股票C,155.1462,1,2.3823,fund
001825,建信中国制造2025,152.2760,1,2.4274,fund
000729,建信中小盘先锋股票,151.5714,1,3.5220,fund
005969,创金合信工业周期精选股票C,150.8594,1,2.5688,fund
000592,建信改革红利股票,148.3855,1,4.9230,fund
001054,工银新金融股票,142.8445,1,2.7490,fund
005927,创金合信新能源汽车股票A,139.9963,1,2.5850,fund
001717,工银前沿医疗股票,137.9310,1,3.5190,fund
200015,长城优化升级股票,136.8690,1,4.5043,fund
003853,金鹰信息产业股票A,135.4589,1,3.1702,fund
005928,创金合信新能源汽车股票C,135.0954,1,2.5127,fund
001719,工银国家战略主题,134.5438,1,2.5190,fund
005885,金鹰信息产业股票C,133.0778,1,3.1562,fund
000803,工银研究精选股票,131.0763,1,3.2420,fund
206012,鹏华价值精选,130.8993,1,3.0040,fund
003984,嘉实新能源新材料A,130.8938,1,2.7227,fund
001410,信达澳银新能源产业,129.6253,1,3.9220,fund
003985,嘉实新能源新材料C,127.4453,1,2.6718,fund
006751,富国互联科技股票,127.0567,1,2.2549,fund
001576,国泰智能装备股票A,125.3131,1,2.5190,fund
004640,华夏节能环保股票,124.4583,1,1.8749,fund
217013,招商中小盘股票,124.0300,1,3.2910,fund
004925,长信低碳环保股票,121.4836,1,2.0990,fund
006257,信达澳银先进智造,119.5830,1,2.3906,fund
004075,交银医药创新股票,118.3667,1,2.8130,fund
006052,鹏扬核心价值混合C,118.0526,1,2.2551,fund
000756,建信潜力新蓝筹股票,117.7310,1,3.2050,fund
006002,工银医药健康行业股票A,115.5492,1,2.3830,fund
001473,建信大安全战略精选,115.4837,1,3.0116,fund
005161,华商上游产业股票,115.2460,1,2.1262,fund
001696,南方智造股票,114.1002,1,1.8080,fund
001043,工银美丽城镇股票,113.4316,1,2.6060,fund
001171,工银养老产业股票,112.2892,1,1.7620,fund
001616,嘉实环保低碳,111.8703,1,3.0700,fund
001718,工银物流产业股票,111.7764,1,3.1830,fund
006003,工银医药健康行业股票C,111.5340,1,2.3224,fund
001126,上投摩根卓越制造股票,110.6376,1,1.4315,fund
003745,广发多元新兴股票,110.0597,1,2.0756,fund
001039,嘉实先进制造,109.1566,1,1.7360,fund
000696,汇添富环保行业股票,107.8140,1,2.2340,fund
002168,嘉实智能汽车,107.0896,1,3.3300,fund
000418,景顺长城成长之星,107.0644,1,3.9570,fund
003145,中融竞争优势股票,106.5255,1,1.6869,fund
004851,广发医疗保健股票A,106.0227,1,2.4869,fund
000831,工银医疗保健股票,105.4582,1,3.0490,fund
001158,工银新材料新能源,105.3597,1,1.4560,fund
001070,建信信息产业股票,104.5899,1,2.7190,fund
001496,工银聚焦30股票,103.5063,1,1.4510,fund
001677,中银战略新兴产业,103.0960,1,2.6240,fund
005037,银华新能源材料量化优选A,101.2725,1,1.7241,fund
001692,南方国策动力,100.7246,1,2.2160,fund
001645,国泰大健康股票A,100.3054,1,2.6630,fund
162703,广发小盘成长混合（LOF）,99.9330,1,1.9259,fund
001236,博时丝路主题股票A,99.2600,1,1.8850,fund
002980,华夏创新前沿股票,98.9001,1,2.1700,fund
005038,银华新能源材料量化优选C,98.8006,1,1.6906,fund
001490,汇添富国企创新股票,98.4277,1,1.8930,fund
003230,创金合信医疗保健股票A,98.0836,1,2.3877,fund
006081,海富通电子信息传媒产业股票A,97.3155,1,2.3374,fund
002556,博时丝路主题股票C,96.2845,1,1.8490,fund
005962,宝盈人工智能主题股票A,95.7179,1,2.4590,fund
001705,泓德战略转型股票,95.7007,1,1.3978,fund
000960,招商医药股票,94.6614,1,2.4430,fund
006692,金信消费升级股票A,94.2811,1,1.6009,fund
003231,创金合信医疗保健股票C,94.2075,1,2.3402,fund
005983,上投摩根核心精选股票A,94.0169,1,2.0170,fund
006080,海富通电子信息传媒产业股票C,92.7625,1,2.2559,fund
005235,银华食品饮料量化优选A,92.6836,1,2.1964,fund
001166,建信环保产业股票,92.4638,1,1.3280,fund
162208,泰达宏利首选企业,92.2773,1,1.7095,fund
005963,宝盈人工智能主题股票C,91.1084,1,2.3879,fund
005236,银华食品饮料量化优选C,90.8212,1,2.1704,fund
001736,圆信永丰优加生活,90.7903,1,2.9210,fund
006693,金信消费升级股票C,89.7155,1,1.6517,fund
006604,嘉实消费精选股票A,89.1998,1,1.8727,fund
001577,嘉实低价策略,89.0530,1,2.1760,fund
000339,长城医疗保健股票,88.5241,1,3.3135,fund
162006,长城久富核心成长股票,88.2816,1,1.7260,fund
000746,招商行业精选股票,87.5982,1,3.3430,fund
003298,嘉实物流产业股票A,86.7424,1,2.4650,fund
006228,中欧医疗创新股票A,86.6973,1,1.8666,fund
200012,长城中小盘股票,86.2981,1,2.7397,fund
005009,申万菱信行业轮动股票A,86.2342,1,1.6018,fund
006605,嘉实消费精选股票C,86.0867,1,1.8417,fund
519727,交银成长30股票,85.9692,1,2.2930,fund
001009,上投摩根安全战略股票,85.9585,1,1.5224,fund
001975,景顺长城环保优势,85.7498,1,2.9850,fund
000471,富国城镇发展股票,85.3365,1,2.3130,fund
000867,华宝品质生活股票,84.7011,1,1.8230,fund
003299,嘉实物流产业股票C,84.5510,1,2.4250,fund
004683,建信高端医疗股票,83.9474,1,1.8873,fund
005259,建信龙头企业股票,83.9222,1,1.9001,fund
519714,交银消费新驱动股票,83.9164,1,1.7520,fund
000628,大成高新技术产业,83.8344,1,3.2410,fund
001714,工银文体产业股票,83.7787,1,2.8650,fund
000793,工银高端制造股票,83.3724,1,1.5660,fund
001917,招商量化精选股票,83.3140,1,1.8951,fund
005402,广发资源优选股票,83.0788,1,1.7625,fund
000513,富国高端制造行业,82.4748,1,3.0820,fund
160919,大成产业升级股票,82.4167,1,2.3550,fund
006229,中欧医疗创新股票C,82.3241,1,1.8216,fund
001104,华安新丝路主题,81.6079,1,1.9800,fund
001072,华安智能装备主题,81.3360,1,1.8460,fund
001186,富国文体健康股票,81.2328,1,1.9700,fund
001678,英大国企改革主题股票,80.8680,1,1.2931,fund
003634,嘉实农业产业股票,80.7104,1,2.1978,fund
001579,国泰大农业股票,80.6283,1,2.4150,fund
001749,招商中国机遇股票,80.5155,1,1.7510,fund
005267,嘉实价值精选股票,80.2733,1,1.9127,fund
004698,博时军工主题股票,79.9791,1,1.7260,fund
005310,广发电子信息传媒股票A,79.9446,1,1.6249,fund
001008,工银国企改革股票,79.8965,1,2.0850,fund
001167,金鹰科技创新股票,79.6446,1,1.1120,fund
001766,上投摩根医疗健康股票,79.6395,1,1.8934,fund
005303,嘉实医药健康股票A,79.4759,1,1.7944,fund
000778,鹏华先进制造股票,79.4081,1,2.8490,fund
000996,中银新动力股票,78.9474,1,1.0540,fund
001651,工银新蓝筹股票,77.8799,1,2.5170,fund
000985,嘉实逆向策略,77.4400,1,2.2180,fund
000866,华宝创造股票,77.0282,1,2.0730,fund
001915,宝盈医疗健康股票,76.3968,1,1.5470,fund
001883,中欧新动力混合,75.6839,1,3.2238,fund
005304,嘉实医药健康股票C,75.3919,1,1.7341,fund
519673,银河康乐股票,74.7855,1,2.6480,fund
001384,东方新思路混合A,74.6241,1,1.4286,fund
001956,国联安科技动力,74.3267,1,1.7023,fund
001230,鹏华医药科技,72.8395,1,0.9800,fund
002872,华夏智胜价值成长股票C,72.6452,1,1.2812,fund
161706,招商优质成长股票,71.4754,1,2.7431,fund
000780,鹏华医疗保健股票,70.5782,1,2.0060,fund
003190,创金合信消费主题股票A,70.4917,1,2.3683,fund
005106,银华农业产业股票,70.4758,1,2.1497,fund
002289,华商改革创新股票,70.4737,1,1.9255,fund
002861,工银智能制造股票,70.3660,1,1.4430,fund
217010,招商大盘蓝筹股票,70.2894,1,2.6480,fund
320022,诺安研究精选股票,69.9503,1,2.0530,fund
519975,长信量化中小盘股票,69.9292,1,1.4410,fund
001781,建信现代服务业股票,69.8339,1,1.8410,fund
000309,大摩品质生活股票,69.3446,1,3.2040,fund
005268,鹏华优势企业股票,68.7213,1,1.7245,fund
001725,汇添富高端制造,68.0147,1,2.2850,fund
001672,国寿安保智慧生活股票,67.2422,1,1.7170,fund
376510,上投摩根大盘蓝筹股票,66.5704,1,2.7684,fund
003191,创金合信消费主题股票C,66.2606,1,2.3067,fund
001208,诺安低碳经济股票A,65.9626,1,2.0430,fund
000751,嘉实新兴产业,65.3947,1,3.7710,fund
000893,工银创新动力股票,65.1246,1,0.9280,fund
001163,银华中国梦30股票,65.0581,1,1.8470,fund
006478,长盛多因子策略优选,64.5493,1,1.3891,fund
000549,华安大国新经济股票,64.5125,1,2.9530,fund
002300,长盛医疗量化股票,64.2542,1,1.8610,fund
000854,鹏华养老产业股票,64.2117,1,3.0100,fund
001541,汇添富民营新动力,63.8073,1,1.3940,fund
004350,汇丰晋信价值先锋股票,63.6954,1,2.1174,fund
450009,国富中小盘股票,63.6429,1,2.4040,fund
005189,海富通量化前锋A,63.2156,1,1.4312,fund
001409,工银互联网加股票,62.5731,1,0.5560,fund
164205,天弘文化新兴产业股票A,62.4777,1,2.1876,fund
001396,建信互联网+产业升级,62.2881,1,1.1490,fund
000971,诺安新经济股票,61.8579,1,1.4810,fund
005188,海富通量化前锋C,61.3148,1,1.4359,fund
001726,汇添富新兴消费股票,60.9184,1,1.5770,fund
004995,广发品牌消费股票,60.8865,1,1.6116,fund
001028,华安物联网主题股票,60.3567,1,1.1690,fund
001404,招商移动互联网产业,60.3175,1,1.2120,fund
003069,光大保德信创业板优选A,59.9876,1,1.5482,fund
001605,国富沪港深成长精选股票,59.3725,1,1.9810,fund
004040,金鹰医疗健康股票A,59.0437,1,1.5702,fund
006712,前海开源MSCI中国A股消费A,58.9436,1,2.0011,fund
671030,西部利得事件驱动股票,58.6199,1,2.0527,fund
000884,民生加银优选股票,58.3818,1,1.8490,fund
710001,富安达优势成长股票,58.2594,1,3.2641,fund
001195,工银农业产业股票,57.3611,1,1.1330,fund
002076,浙商中证500指数增强A,57.0352,1,1.5625,fund
003956,南方现代教育股票,57.0133,1,1.6097,fund
000326,南方中小盘成长股票,56.9526,1,1.3565,fund
004041,金鹰医疗健康股票C,56.8290,1,1.6340,fund
001637,嘉实腾讯自选股大数据策略股票,56.2455,1,1.7437,fund
000577,安信价值精选股票,55.6430,1,4.5510,fund
001938,中欧时代先锋,55.4258,1,1.3851,fund
004484,泰达宏利业绩股票A,55.4250,1,1.5084,fund
005495,创金合信科技成长A,55.2746,1,1.5043,fund
001162,前海开源优势蓝筹A,55.2209,1,1.5460,fund
340006,兴全全球视野股票,55.0965,1,2.6050,fund
217012,招商行业领先股票,54.6970,1,2.0420,fund
001638,前海开源优势蓝筹C,54.6618,1,1.6920,fund
000925,汇添富外延增长股票,54.4016,1,1.5610,fund
160607,鹏华价值优势混合,54.2053,1,0.7580,fund
000586,景顺长城中小创精选股票,54.0667,1,2.3110,fund
000711,嘉实医疗保健,53.9846,1,2.3960,fund
004292,鹏华沪深港互联网,53.6228,1,1.7619,fund
004616,中欧电子信息产业沪港深,53.3901,1,2.0700,fund
001036,嘉实企业变革,53.0470,1,1.5320,fund
002595,博时工业4.0主题股票,53.0387,1,1.9390,fund
000082,嘉实研究阿尔法股票,52.9623,1,1.7200,fund
004485,泰达宏利业绩股票C,52.9253,1,1.4716,fund
005496,创金合信科技成长C,52.5348,1,1.4683,fund
004730,建信量化事件驱动,52.5215,1,1.4366,fund
167705,德邦量化新锐A,52.2931,1,1.3283,fund
000594,大摩进取优选股票,52.1257,1,2.4690,fund
006868,华夏科技成长股票,52.0625,1,1.5188,fund
005826,华夏潜龙精选股票,51.9987,1,1.8822,fund
001044,嘉实新消费,51.9195,1,2.1110,fund
673090,西部利得个股精选股票A,51.9116,1,1.5814,fund
006502,财通集成电路产业股票A,51.8372,1,1.6157,fund
004241,中欧时代先锋股票C,51.7210,1,1.3431,fund
519193,万家消费成长股票,51.4229,1,2.2933,fund
001542,国泰互联网+股票,51.2270,1,2.4650,fund
167706,德邦量化新锐C,51.0904,1,1.3163,fund
001528,诺安先进制造股票,50.6729,1,2.2390,fund
000916,前海开源股息率100强,50.3263,1,1.8430,fund
000457,上投摩根核心成长股票,50.1733,1,2.4268,fund
005763,中欧电子信息产业沪港深股票C,49.9018,1,2.1367,fund
320020,诺安策略精选股票,49.0205,1,1.8714,fund
540007,汇丰晋信中小盘股票,48.3336,1,1.8337,fund
000697,汇添富移动互联股票,48.2821,1,1.6400,fund
005505,前海开源中药股票A,48.2613,1,2.0294,fund
006503,财通集成电路产业股票C,48.2372,1,1.5725,fund
005506,前海开源中药股票C,47.2661,1,2.0146,fund
